date,day
2023-03-11,Saturday
2023-03-12,Sunday
2023-03-13,Monday
2023-03-14,Tuesday
2023-03-15,Wednesday
2023-03-16,Thursday
2023-03-17,Friday
2023-03-18,Saturday
2023-03-19,Sunday
2023-05-27,Saturday
2023-05-28,Sunday
2023-05-29,Monday
2023-05-30,Tuesday
2023-05-31,Wednesday
2023-06-01,Thursday
2023-06-02,Friday
2023-06-03,Saturday
2023-06-04,Sunday
2023-06-05,Monday
2023-06-06,Tuesday
2023-06-07,Wednesday
2023-06-08,Thursday
2023-06-09,Friday
2023-06-10,Saturday
2023-06-11,Sunday
2023-06-12,Monday
2023-06-13,Tuesday
2023-06-14,Wednesday
2023-06-15,Thursday
2023-06-16,Friday
2023-06-17,Saturday
2023-06-18,Sunday
2023-06-19,Monday
2023-06-20,Tuesday
2023-06-21,Wednesday
2023-06-22,Thursday
2023-06-23,Friday
2023-06-24,Saturday
2023-06-25,Sunday
2023-09-02,Saturday
2023-09-03,Sunday
2023-09-04,Monday
2023-09-05,Tuesday
2023-09-06,Wednesday
2023-09-07,Thursday
2023-09-08,Friday
2023-09-09,Saturday
2023-09-10,Sunday
2023-11-18,Saturday
2023-11-19,Sunday
2023-11-20,Monday
2023-11-21,Tuesday
2023-11-22,Wednesday
2023-11-23,Thursday
2023-11-24,Friday
2023-11-25,Saturday
2023-11-26,Sunday
2023-11-27,Monday
2023-11-28,Tuesday
2023-11-29,Wednesday
2023-11-30,Thursday
2023-12-01,Friday
2023-12-02,Saturday
2023-12-03,Sunday
2023-12-04,Monday
2023-12-05,Tuesday
2023-12-06,Wednesday
2023-12-07,Thursday
2023-12-08,Friday
2023-12-09,Saturday
2023-12-10,Sunday
2023-12-11,Monday
2023-12-12,Tuesday
2023-12-13,Wednesday
2023-12-14,Thursday
2023-12-15,Friday
2023-12-16,Saturday
2023-12-17,Sunday
2023-12-18,Monday
2023-12-19,Tuesday
2023-12-20,Wednesday
2023-12-21,Thursday
2023-12-22,Friday
2023-12-23,Saturday
2023-12-24,Sunday
2023-12-25,Monday
2023-12-26,Tuesday
2023-12-27,Wednesday
2023-12-28,Thursday
2023-12-29,Friday
2023-12-30,Saturday
2023-12-31,Sunday
2023-07-03,Monday
2023-08-10,Thursday
2023-09-01,Friday
2023-10-06,Friday
